topic,category,views,words,replies
Welcome to the Car Talk Community,None,65.6k,1370,20
FAQ/Guidelines,General Discussion,1.2k,911,2
Mechanic FAILED Simple Honesty Test,General Discussion,300,1075,20
Isuzu 3.2l Severe Power Loss,Maintenance/Repairs,39,324,3
2017 Toyota Corolla - Oil consumption,Maintenance/Repairs,172,386,11
Transporting vehicle that burns oil badly,Maintenance/Repairs,262,821,20
Craigslist Stories,General Discussion,272,1248,13
Please Help with my 5.7 Vortec!,Maintenance/Repairs,295,1164,17
Car AC fan is continuously running even when knob is at 0 means off,Maintenance/Repairs,165,485,13
2018 camry peeling off,Maintenance/Repairs,2.7k,1532,20
What to get for my next vehicle?,General Discussion,240,773,18
George Vs Waterpump,Maintenance/Repairs,105,379,2
Advice on leaking shocks,Maintenance/Repairs,567,1310,17
2017 Subaru Forester - Price guess request,Maintenance/Repairs,153,128,7
2007 Hyundai Santa Fe - shuts off when I brake,Maintenance/Repairs,142,126,5
The 2021 Ford Bronco,General Discussion,1.3k,593,9
Virginia’s DMV has a surprise for the owners of fuel-efficient vehicles…,General Discussion,1.2k,2920,20
The time has come,General Discussion,783,730,20
"’ As Stick Shifts Fade Into Obscurity, Collectors See Opportunity’",General Discussion,960,2149,20
2016 Jeep Grand Cherokee - Sensors stopped working,Maintenance/Repairs,82,46,2
Best wheel bearings - Timken?,General Discussion,415,555,13
Reverse Osmosis water in battery,Maintenance/Repairs,29.3k,1554,20
Is my 2020 Honda my 2019 Toyota’s “dimwitted” cousin?,General Discussion,1.1k,2647,20
Instrument Cluster or Fuel Pump,Power/Fuel,843,1601,20
Intermittent rubbing noise when turning right at speed,Maintenance/Repairs,234,1133,13
Simoniz GlassCoat,General Discussion,73.7k,1548,20
New Car Salesperson Commissions,Buying/Selling,503,853,11
Drain bolt,Maintenance/Repairs,1.1k,1012,20
Help with 2010 Mazda CX-7 AWD Touring ABS/TCS lights,Maintenance/Repairs,232,498,5
Can I clean the after the clearcoat is gone?,Maintenance/Repairs,263,614,11
Can a air conditioning condenser have a very slow leak?,Maintenance/Repairs,373,359,7
Download podcast to cell phone?,The Show,661,355,8
Jaguar or Alfa,General Discussion,813,703,20
CV Axil - how long can I go?,Maintenance/Repairs,657,994,18
Is the tire shine applied at car washes safe for the tires,Maintenance/Repairs,256,527,10
1999 Lexus ES 300 CEL and PO325,Maintenance/Repairs,110,58,3
2004 Nissan Frontier - Overdrive?,Maintenance/Repairs,105,57,2
2015 Cadillac ATS CUE freezes,Maintenance/Repairs,135,42,2
2009 Ford Taurus X shifts hard when going uphill,Maintenance/Repairs,176,53,2
Can you get away with notching a belt pulley for easier removal/installation?,Maintenance/Repairs,1.1k,919,18
How do you connect to a stretched-out heater hose when replacement isn’t an option?,Maintenance/Repairs,545,730,8
2019 Honda HR-V CEL and parking light stay on,Maintenance/Repairs,213,115,4
2005 Dodge Grand Caravan front vents don’t blow cold air,Maintenance/Repairs,296,281,9
Pep Boys is beginning,General Discussion,683,1393,20
2004 Avalon with mystery coolant leak,Maintenance/Repairs,650,1940,20
Mobile phones,General Discussion,1.5k,1389,20
2012 Mercedes-Benz GL-Class is slow to accelerate,Maintenance/Repairs,213,142,3
2001Ford expedition will not start,Maintenance/Repairs,187,536,9
2020 Ford Explorer - No nav,Maintenance/Repairs,247,121,3
Cleaning the Plenum,General Discussion,368,1478,16
Parking… Costco Loves Its Customers’ Cars and My Cars Love Them Back For Me!,General Discussion,1.8k,1877,20
Car names for fun,General Discussion,2.2k,679,20
2018 Kia Niro - Warranty for mobile charger?,Maintenance/Repairs,308,570,6
2009 Ford Focus - Wrong fluid,Maintenance/Repairs,216,201,4
Better air flow to intake in 1981 Toyota Pickup,Maintenance/Repairs,771,480,19
2016 GMC Terrain - AC issues,Maintenance/Repairs,236,97,4
Autobody Parts Online?,Maintenance/Repairs,2.6k,1106,16
Prevent rust on rotors with outdoor storage,Maintenance/Repairs,33.8k,1271,20
Repair idea,Maintenance/Repairs,335,655,14
2014 Ford Escape - whirring noise 25 mph,Maintenance/Repairs,283,545,10
My Carfax is wrong,General Discussion,259,269,3
Tapping sound from rear of vehicle,Maintenance/Repairs,211,149,4
02 ford taurus lowering kit,Maintenance/Repairs,830,963,20
Need some opinion on this problem,Maintenance/Repairs,668,1126,17
Repair bum trans?,General Discussion,501,665,10
2003 Ford Focus Drive-ability,Maintenance/Repairs,693,1015,14
Security reset,Maintenance/Repairs,184,58,4
Vice grips are not safety equipment,General Discussion,633,518,20
New Castrol ATF,Maintenance/Repairs,700,1146,19
Congratulations to my local mechanic’s shop,General Discussion,320,202,5
Jacking problem,Maintenance/Repairs,1.4k,567,20
Mounting a European Style license plate,General Discussion,226,78,4
Long windshield crack,General Discussion,273,155,5
Car stops by it self,Maintenance/Repairs,399,350,11
2010 Toyota Prius - Noise and vibration,Maintenance/Repairs,215,88,3
Car Issues ***,General Discussion,753,1286,20
2013 Hyundai Santa Fe Sport - It wasn’t the lock,Maintenance/Repairs,184,84,2
Transmission not shifting correctly,Maintenance/Repairs,586,754,17
2001 Honda Accord Cpe - No tach or speedo,Maintenance/Repairs,155,55,2
To replace or not replace Instrument Cluster or Fuel Pumps,Maintenance/Repairs,239,107,1
2012 Chevrolet Malibu - Nothing but problems,Maintenance/Repairs,259,172,4
2012 Toyota Sienna - AC issues,Maintenance/Repairs,138,39,2
2020 Jeep Compass - Not in park warning,Maintenance/Repairs,257,454,8
2011 Jeep Grand Cherokee - Total electrical failure!,Maintenance/Repairs,229,129,4
2016 Chevrolet Trax - Door lock help,Maintenance/Repairs,178,51,2
Best used car to buy for long road trips?,Buying/Selling,14.5k,1796,17
2006 Kia Optima,Maintenance/Repairs,289,105,4
"Car squeaking, not the breaks!",General Discussion,85.7k,1835,19
2014 Hyundai Elantra brakes are groaning,Maintenance/Repairs,324,225,7
2003 Chevrolet Impala headlights aren’t working,Maintenance/Repairs,244,34,3
2008 Toyota Land Cruiser AC temp control,Maintenance/Repairs,309,375,7
Toyota and Honda’s Magical Locks,General Discussion,527,1701,15
Crank but won’t start,Maintenance/Repairs,177,262,3
2006 Saturn Ion won’t start,Maintenance/Repairs,309,246,9
2019 Jeep Cherokee - Shuts off,Maintenance/Repairs,372,379,8
Peeling paint on 2018 Toyota Camry,Maintenance/Repairs,423,193,6
2018 Toyota Camry paint is already peeling,Maintenance/Repairs,378,181,5
2010 Volvo XC70 fuel gauge issue,Maintenance/Repairs,586,1486,20
Parking in Paris,General Discussion,1.3k,1480,20
Vapor canister on vintage cars,Maintenance/Repairs,625,1565,20
To all fathers,General Discussion,233,323,3
