words,topic,category,replies,views

13,About the Buying/Selling category,None,1,2.2k

853,New Car Salesperson Commissions,None,11,552

1796,Best used car to buy for long road trips?,None,17,14.5k

1062,Honda Element any good?,None,25,1.2k

492,1993 4Runner vs 2011 Mazda3 Hatch,None,20,1.7k

1054,"Pickup buying advice, new Nissan or used Toyota?",None,13,920

1122,Tips for buying used Honda Civic 7th gen,None,19,1.2k

1011,Is this 2007 Camry SE a good buy?,None,16,618

363,2007 Jeep Liberty - Reliable?,None,15,639

1191,"Advice for buying used car- Mitsubishi, Kia, Hyundai, or Nissan?",None,23,1.3k

909,Selling the leased car,None,19,1.1k

862,2005 Toyota Highlander - worth buying?,None,13,703

632,Best used truck (year/model) for around 20k?,None,14,345

508,New pickup needed,None,8,348

801,Starting the search for a new car,None,16,827

689,Recommendations on a vehicle - beach,None,7,375

37,2008 Nissan Rogue - Engine trouble,None,2,266

666,2013 Wrx Wagon Resale,None,12,625

1213,What pickup to get,None,15,1.3k

754,1988 Jeep Comanche - Buy or walk?,None,20,1.0k

2167,Is new Mustangs (2021) handling really this bad?,None,29,2.1k

274,2012 GMC Terrain - Which Engine option is better?,None,7,483

3046,Safe used car for kid,None,24,1.1k

559,Red flag? Looking for new car,None,13,932

1307,Wanted: A normal car if they still make them,None,27,2.8k

181,2018 Toyota Prius Prime - Should I buy?,None,5,429

1641,2010 Toyota Tacoma - Buying,None,19,739

1845,I am looking for a used car which will be easy to work on myself at home,None,28,2.0k

185,2010 Nissan Altima - Opinions?,None,5,354

574,Help finding replacement vehicle,None,1,452

756,Subaru Outback vs. Lexus ES 350,None,20,1.1k

628,40K miles a year,None,12,828

800,Buying a New Car Advice (Europe),None,9,406

3962,Uncertainty pertaining to family vehicles,None,33,1.5k

319,Rust on disc brakes,None,7,357

1065,87 Volvo 240 DL,None,12,662

968,"Looking at a 2004 Avalon XLS, whats your opinion regarding value",None,19,628

993,Looking at used Subarus for my 16-year-old,None,16,1.0k

3166,Do i need a subwoofer or is just a CD enough?,None,24,940

260,2017 Toyota Corolla CVT owner experiences?,None,5,473

1776,2014 Honda Accord - Sell/Trade - Buy Used Car In Place,None,21,1.1k

475,Toyota Highlander rusty bolts clamps battery terminals,None,8,569

234,"Buying a second-hand golf little/big issues ? help! <img width=""20"" height=""20"" src=""https://emoji.discourse-cdn.com/twitter/slight_smile.png?v=9"" title=""slight_smile"" alt=""slight_smile"" class=""emoji"">",None,4,345

1022,How to track previous owners of the car without VIN number,None,30,1.1k

1721,"New driver, blind in one eye: suggestions for vehicles and safety?",None,16,4.5k

1229,"Odyssey, Town &amp; Country, Caravan",None,14,617

1095,Potential problems with buying used 1991 Jeep Cherokee,None,12,1.4k

730,08 Avalon vs 2011 corolla,None,13,725

3213,Used car negotions for 2013 GMC Terrain,None,27,1.1k

804,Chevrolet Corvette (C8) or Mazda MX-5 RF (ND),None,16,2.4k

1064,Should I buy this 2006 Mazda MX-5 Miata I found?,None,14,475

1265,2013 Mercedes-Benz S-Class - Buying,None,12,663

172,Body work and other repairs before trade-in,None,4,316

1015,Toyota highlander vs subaru ascent..any advice?,None,16,1.1k

218,2020 Volkswagen Tiguan reliability,None,6,429

385,"$3,500 for a 1990 silverado 4x4?",None,6,396

130,Nissan MAX,None,4,277

625,"Electrical Problems - New Car Now, or Cross My Fingers?",None,7,357

2417,Seeking family car that can accomodate house projects,None,19,42.9k

599,"Lease return with small bumper rash, fix it or not",None,14,682

472,Used car value and windshield replacement,None,7,518

1397,Local private seller sold son a out of state registered vehicle. Plz help,None,20,796

1792,A/C explosion?,None,34,10.5k

978,Looking at a VAN-Ford spark plug blow out problem//I think the engine shows v6 or v8 titan,None,16,398

1317,2010 FJ cruiser with 202K on it,None,23,1.3k

1163,Volkswagon Beetle vs Chrysler PT Crusier?,None,21,1.4k

2707,I cant stop looking at cars to potentially buy,None,27,2.1k

902,2013 Honda Odyssey - Should I buy this?,None,13,587

779,2018 Alfa Romeo Stelvio,None,19,817

1980,Which of these $3k cars should I test drive?,None,19,746

726,Thinking about buying a 2012 Toyota Prius,None,15,473

414,1998 Mazda MazdaSpeed Miata MX-5 - Value,None,11,423

1293,Used Odyssey or Sedona?,None,16,521

1210,Help with buying decision - 4Runner vs Edge,None,17,1.7k

183,Is this rust really bad?,None,8,469

1715,Should I buy this SUV?,None,27,1.1k

1832,What was Your Experience Like Buying a Used Car Online? Pros? Cons?,None,25,906

680,Carfax Title - How to know if the lien or loan has been cleared (preferably for free),None,14,1.0k

281,"RAV4 or similar, which years had most boxy trunk space/rear hatch?",None,5,254

10587,"In general, is it worth trying to maintain a vehicle that has more than 100,000 miles or are you better off with a newer car?",None,82,6.8k

432,SUV for dogs! AC requirements,None,6,874

2287,2015 VW GTIs + Seeking General Advice,None,29,1.2k

167,What does things taped under the hood mean?,None,8,314

